RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
408.0,374.0,"Birkbeck, University of London",United Kingdom,Europe,M,CO,VH,A,10.0,601.0,3.6,601.0,15.6,701.0,57.1,218.0,97.7,123.0,99.5,46.0,55.5,686.0,8.8,701.0,7.7,701.0,2,0.0,4,,False,False,False,True,False
408.0,400.0,Masaryk University,Czech Republic,Europe,XL,CO,VH,A,23.5,376.0,31.7,298.0,9.5,701.0,13.8,656.0,27.6,513.0,66.7,223.0,80.2,318.0,36.0,352.0,79.1,,4,0.0,4,,False,False,False,True,False
410.0,399.0,HSE University,Russia,Europe,XL,CO,VH,A,24.0,366.0,38.4,246.0,84.8,105.0,1.8,701.0,6.6,701.0,13.5,652.0,83.6,271.0,13.0,701.0,44.6,,4,0.0,4,,False,False,False,True,False
410.0,415.0,The American University in Cairo,Egypt,Africa,M,CO,VH,B,32.1,274.0,31.1,301.0,35.5,444.0,5.2,701.0,97.0,130.0,3.8,701.0,29.4,701.0,75.6,138.0,14.6,,2,0.0,4,,True,False,False,False,False
412.0,407.0,Auckland University of Technology (AUT),New Zealand,Oceania,L,CO,VH,A,19.3,464.0,11.2,601.0,10.6,701.0,21.7,536.0,100.0,64.0,99.8,42.0,52.6,701.0,12.4,701.0,72.6,,3,0.0,4,,False,False,False,False,True
413.0,421.0,Graz University of Technology,Austria,Europe,M,FO,VH,A,14.7,590.0,15.7,545.0,98.9,40.0,11.1,701.0,81.8,232.0,59.7,247.0,59.9,634.0,11.9,701.0,2.8,701.0,2,1.0,4,,False,False,False,True,False
413.0,369.0,Yeshiva University,United States,Americas,S,FC,HI,B,3.1,601.0,2.8,601.0,65.3,202.0,91.6,71.0,31.4,488.0,13.5,651.0,6.6,701.0,3.0,701.0,15.8,583.0,1,,3,,False,True,False,False,False
415.0,387.0,Concordia University,Canada,Americas,XL,CO,VH,A,15.8,559.0,11.4,601.0,3.3,701.0,17.5,590.0,87.4,208.0,92.3,104.0,73.8,423.0,43.6,294.0,89.8,,4,0.0,4,,False,True,False,False,False
416.0,413.0,Oxford Brookes University,United Kingdom,Europe,L,CO,HI,A,30.7,289.0,37.6,250.0,13.7,701.0,7.0,701.0,67.5,291.0,67.4,220.0,68.4,508.0,20.5,554.0,13.2,,3,0.0,3,,False,False,False,True,False
416.0,392.0,Technion - Israel Institute of Technology,Israel,Asia,L,FC,VH,A,23.9,369.0,24.8,385.0,52.0,293.0,20.1,555.0,74.2,266.0,4.3,701.0,59.1,641.0,35.3,359.0,15.0,,3,,4,,False,False,True,False,False
418.0,441.0, University of Dundee,United Kingdom,Europe,L,FC,HI,A,18.4,494.0,13.7,590.0,30.8,512.0,14.0,654.0,91.1,185.0,89.4,126.0,75.2,405.0,7.4,701.0,55.4,,3,,3,,False,False,False,True,False
418.0,514.0,Bogaziçi University,Turkey,Asia,L,CO,HI,A,24.9,353.0,65.3,118.0,4.1,701.0,10.7,701.0,10.7,701.0,2.6,701.0,46.8,701.0,84.9,102.0,46.2,,3,0.0,3,,False,False,True,False,False
420.0,454.0,Czech Technical University in Prague,Czech Republic,Europe,L,SP,VH,A,22.0,404.0,42.4,217.0,80.6,129.0,3.6,701.0,19.9,598.0,50.2,293.0,59.4,639.0,15.6,642.0,5.8,701.0,3,,4,,False,False,False,True,False
421.0,436.0,Dublin City University,Ireland,Europe,L,FC,HI,A,20.1,441.0,26.0,366.0,25.8,577.0,10.7,701.0,75.0,265.0,22.6,508.0,75.4,401.0,35.3,358.0,82.5,,3,,3,,False,False,False,True,False
